WKT,SA22022_V1_00,SA22022_V1_00_NAME,SA22022_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (2687923.06983234 6425417.83736103)",170600,Pukekawa,Pukekawa,140.89161898,140.89161898,1777595.15145,5863758.76955,-37.3559036005503,175.005264297626,2687923.06983234,6425417.83736103
"POINT (2706700.59774362 6433505.14274529)",170700,Maramarua,Maramarua,267.63977691,267.63977691,1796360.431,5871880.8299,-37.2789660223067,175.214860447284,2706700.59774362,6433505.14274529
"POINT (2700993.25674126 6421267.7778713)",170801,Rangiriri,Rangiriri,130.99642387,166.42818118,1790674.15695,5859631.2904,-37.3904867498784,175.153913306177,2700993.25674126,6421267.7778713
"POINT (2699665.7907301 6419204.05066572)",170802,Te Kauwhata West,Te Kauwhata West,6.54954625,6.54954625,1789350.1147,5857564.93245,-37.4093709501579,175.139495403214,2699665.7907301,6419204.05066572
"POINT (2681976.9048681 6397438.32148683)",170900,Te Ākau,Te Akau,804.1161949,815.99803547,1771695.91845,5835767.1113,-37.6091767742432,174.945219190838,2681976.9048681,6397438.32148683
"POINT (2674314.47749374 6379529.51745185)",171000,Inlets Waikato District,Inlets Waikato District,0,65.3572,1764061.0949,5817845.2109,-37.772022048729,174.86279929694,2674314.47749374,6379529.51745185
"POINT (2700390.89442653 6419877.02727743)",171100,Te Kauwhata,Te Kauwhata,1.55898641,1.55898641,1790074.1474,5858239.2756,-37.4031485325357,175.147497659143,2700390.89442653,6419877.02727743
"POINT (2697810.13558038 6404493.24104798)",171200,Huntly Rural,Huntly Rural,350.69500536,350.69500536,1787519.3276,5842848.78895,-37.5422992733293,175.122569371288,2697810.13558038,6404493.24104798
"POINT (2714581.2235529 6417222.74721828)",171300,Waerenga,Waerenga,261.7387889,261.7387889,1804271.80165,5855609.3573,-37.4238133688232,175.308518052825,2714581.2235529,6417222.74721828
"POINT (2700082.17492197 6403518.73627757)",171400,Huntly West,Huntly West,5.75472371,5.75472371,1789793.3503,5841877.9159,-37.5505787712022,175.148544110045,2700082.17492197,6403518.73627757
"POINT (2701616.54444079 6403927.17750242)",171500,Huntly East,Huntly East,11.35509743,11.35509743,1791327.2957,5842288.9813,-37.546559056779,175.165790545382,2701616.54444079,6403927.17750242
"POINT (2674564.09799173 6375650.87968037)",171600,Raglan,Raglan,4.90205511,4.90205511,1764316.57655,5813966.7445,-37.8069150591977,174.866577679737,2674564.09799173,6375650.87968037
"POINT (2716232.72462596 6398638.18969169)",171700,Whitikahu,Whitikahu,253.63802074,253.63802074,1805955.39555,5837023.1539,-37.5908311133395,175.332736176615,2716232.72462596,6398638.18969169
"POINT (2681395.83046192 6366541.34252485)",171801,Te Uku,Te Uku,500.14712594,500.14712594,1771162.2631,5804866.5758,-37.8876311089745,174.946456258967,2681395.83046192,6366541.34252485
"POINT (2673161.71629663 6372115.54599915)",171802,Whale Bay,Whale Bay,48.74112093,48.74112093,1762919.37575,5810429.1176,-37.8390339947274,174.85150986235,2673161.71629663,6372115.54599915
"POINT (2703451.4485911 6391430.58104381)",171900,Taupiri-Lake Kainui,Taupiri-Lake Kainui,47.17975607,47.17975607,1793182.98815,5829793.1424,-37.6587209805593,175.19008122462,2703451.4485911,6391430.58104381
"POINT (2700522.99596808 6391573.13234993)",172000,Ngāruawāhia North,Ngaruawahia North,3.71233685,3.71233685,1790253.76625,5829931.0265,-37.6580908237377,175.156858960448,2700522.99596808,6391573.13234993
"POINT (2700208.24882259 6390020.03575527)",172100,Ngāruawāhia Central,Ngaruawahia Central,3.84778733,3.84778733,1789941.4444,5828377.15825,-37.6721512386638,175.153725089127,2700208.24882259,6390020.03575527
"POINT (2699274.7555207 6389091.52346047)",172200,Ngāruawāhia South,Ngaruawahia South,4.42098452,4.42098452,1789009.2649,5827447.00265,-37.6807217198107,175.143403121505,2699274.7555207,6389091.52346047
